"HOME";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"AWAY";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"WINNER"
"SAS";102;0,49619839952258;0,373049174801845;0,774700298714685;10;34;24;7;13;5;19;"LAC";106;0,526735303941109;0,380177857221904;0,761084204087767;8;31;24;7;11;4;21;1
"MIA";94;0,502625461015168;0,3591743236732;0,7264911901588;8;27;19;8;13;3;20;"PHI";91;0,459449562607318;0,292962543648585;0,691256950319902;11;30;20;10;17;5;22;0
"MIL";99;0,497984213999424;0,366231947090948;0,776026538525262;10;29;22;8;16;3;23;"CHA";96;0,466542270419355;0,325054109037717;0,722612498516208;9;32;20;5;10;4;18;0
"OKC";97;0,487271868175168;0,310004257842274;0,712706453189521;11;33;19;6;14;5;22;"POR";103;0,489019590916865;0,370929741284232;0,791900327615459;11;35;22;6;13;5;19;0
"ORL";93;0,479308484287471;0,375468781937297;0,728393308735451;9;32;19;6;14;3;20;"BOS";103;0,508505596654611;0,32946717776686;0,759579462167332;10;33;25;8;14;4;21;1
"MIA";94;0,503331596441647;0,358312957328538;0,729725797545664;8;27;19;8;13;3;20;"CLE";103;0,509070060138705;0,356776329553501;0,757897383263778;10;30;22;7;13;4;18;1
"BOS";103;0,510836077201795;0,331153578590309;0,758382916430494;10;33;25;8;14;4;21;"BKN";96;0,491356378979479;0,328968090911604;0,748343913417393;9;32;21;7;14;4;20;0
"DEN";101;0,476924162581329;0,318835598491357;0,739951251838525;13;32;20;6;14;4;24;"MIN";98;0,455798056310356;0,319980404749312;0,72584928175639;12;28;22;9;14;4;20;1
"SAC";101;0,488158297966912;0,34139501083654;0,769619787256164;11;33;19;6;15;3;22;"PHX";105;0,500274827273291;0,363099395579519;0,798452251121309;10;31;20;8;14;4;22;0
"CHI";103;0,4932472867604;0,364967572858042;0,767598120633983;11;34;22;5;13;6;19;"NOP";101;0,49527373493786;0,329496140476701;0,761959496735641;11;31;21;7;11;6;19;1
"CHA";95;0,461251582672498;0,321555994476144;0,725895838838019;9;32;20;5;10;4;18;"ORL";93;0,480423765404026;0,377821323291746;0,727177552650474;8;32;19;6;14;3;20;0
"WAS";100;0,491186083737205;0,386179790331333;0,713282797926738;10;32;25;8;13;5;21;"BOS";103;0,509475048470562;0,328255236497798;0,758083526557977;10;33;25;8;14;4;21;1
"DEN";101;0,476746885447369;0,316140712012509;0,738852255099901;13;32;20;6;14;4;24;"TOR";108;0,505427855249849;0,369715374102534;0,786189058921467;11;30;21;7;11;4;21;0
"BKN";96;0,487880034548601;0,329068630882576;0,74869173609365;9;31;20;7;14;4;20;"SAC";102;0,490910789569577;0,350014687556764;0,774121345458602;11;33;20;6;15;3;22;1
"CHA";95;0,459337470713982;0,320257369648764;0,728451978489715;9;32;20;5;10;4;18;"MIL";99;0,496441423103645;0,366484168216585;0,780428553644109;10;30;22;8;16;4;23;0
"IND";94;0,462616760605462;0,333893655372804;0,733536552950908;10;34;20;5;13;4;21;"CHI";103;0,488240218446003;0,365601373237311;0,771184887026044;11;34;21;5;13;6;19;0
"LAC";106;0,516493068450088;0,381885092366767;0,759487246863348;8;31;24;7;12;4;20;"UTA";96;0,497576474319769;0,332658135567489;0,74676096450247;11;30;20;6;14;5;18;1
